,address,end_time,forestry,municipality,start_time,area
7327,ΣΤΡΑΤΟΠΕΔΟ ΓΕΡΑΚΙΝΗ-ΜΑΛΑΚΑΣΑ,2018-06-02 20:20:00,ΚΑΠΑΝΔΡΙΤΙΟΥ,,2018-06-02 18:43:00,0.2
7328,ΧΑΡΑΥΓΗ,2018-06-02 14:20:00,ΧΑΛΚΙΔΑΣ,Δ. ΧΑΛΚΙΔΕΩΝ,2018-06-02 13:25:00,0.1
7329,ΚΟΙΜΗΤΗΡΙΟ,2018-06-02 15:45:00,ΧΑΛΚΙΔΑΣ,Δ. ΧΑΛΚΙΔΕΩΝ,2018-06-02 15:00:00,0.15
7330,"""""""ΚΟΥΤΣΟΥΡΙ""""""",2018-06-05 22:00:00,ΧΑΛΚΙΔΑΣ,Δ. ΔΙΡΦΥΩΝ - ΜΕΣΣΑΠΙΩΝ,2018-06-02 15:12:00,50.0
7331,ΠΟΥΡΝΟΣ,2018-06-02 18:10:00,ΧΑΛΚΙΔΑΣ,Δ. ΔΙΡΦΥΩΝ - ΜΕΣΣΑΠΙΩΝ,2018-06-02 17:30:00,1.0
7332,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ ΚΑΝΑΤΑΔΙΚΑ,2018-06-02 17:00:00,ΙΣΤΙΑΙΑΣ,Δ. ΙΣΤΙΑΙΑΣ - ΑΙΔΗΨΟΥ,2018-06-02 16:00:00,1.5
7333,ΤΡΙΠΟΔΕΣ ΝΤΑΜΑΡΙ ΓΕΩΡΓΙΑΔΗ ΝΑΞΟΥ,2018-06-02 11:30:00,ΝΑΞΟΥ,Δ. ΝΑΞΟΥ & ΜΙΚΡΩΝ ΚΥΚΛΑΔΩΝ,2018-06-02 09:05:00,0.5
7334,ΔΗΜΟΣ ΚΑΜΕΙΡΟΥ,2018-06-02 13:30:00,,Δ. ΡΟΔΟΥ,2018-06-02 11:54:00,1.0
7335,ΠΡΑΙΤΩΡΙΑ,2018-06-02 19:30:00,ΗΡΑΚΛΕΙΟΥ,Δ. ΑΡΧΑΝΩΝ-ΑΣΤΕΡΟΥΣΙΩΝ,2018-06-02 15:00:00,12.0
7336,ΕΠΑΡΧΙΑΚΗ ΟΔΟΣ ΑΡΚΑΛ/ΡΙΟΥ ΝΙΠΙΔΙΤΟΥ,2018-06-03 00:30:00,,Δ. ΜΙΝΩΑ ΠΕΔΙΑΔΑΣ,2018-06-02 23:04:00,2.0
7337,ΑΣΦΕΝΔΙΛΕΣ ΣΕΛΙΝΟΥ (Δ.Ε. ΠΕΛΕΚΑΝΟΥ),2018-06-03 23:30:00,ΧΑΝΙΩΝ,Δ. ΚΑΝΤΑΝΟΥ-ΣΕΛΙΝΟΥ,2018-06-02 18:24:00,30.0
7338,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΔΙΑΛΑΜΠΗΣ,2018-06-03 15:00:00,Δ/ΝΣΗ ΔΑΣΩΝ Ν. ΡΟΔΟΠΗΣ,Δ. ΙΑΣΜΟΥ,2018-06-03 13:59:00,0.3
7339,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΒΕΝΝΑΣ ΣΑΛΜΩΝΗΣ,2018-06-03 10:50:00,,Δ. ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ,2018-06-03 10:30:00,0.3
7340,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΧΡΥΣΟΥΠΟΛΗΣ,2018-06-03 13:47:00,,Δ. ΝΕΣΤΟΥ,2018-06-03 13:24:00,0.1
7341,Αγροτικη Περιοχη Μοναστηρακιου,,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,Δ. ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,2018-06-03 08:45:00,1.0
7342,Δ.Δ. ΜΑΝΗΣ ΔΙΔΥΜΟΤΕΙΧΟΥ,,,Δ. ΔΙΔΥΜΟΤΕΙΧΟΥ,2018-06-03 14:12:00,0.1
7343,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΓΙΑΝΝΙΤΣΩΝ,2018-06-03 15:53:00,ΕΔΕΣΣΑΣ,Δ. ΠΕΛΛΑΣ,2018-06-03 15:25:00,0.1
7344,ΘΕΣΗ ''ΠΑΛΙΟΜΥΛΟΣ'' Τ.Κ. ΑΡΧΑΓΓΕΛΟΥ,,,Δ. ΝΑΟΥΣΑΣ,2018-06-03 19:00:00,0.4
7345,ΟΜΟΛΙΟ,2018-06-03 18:20:00,ΑΓΙΑΣ,Δ. ΑΓΙΑΣ,2018-06-03 15:05:00,11.0
7346,ΑΓΙΟΙ ΑΠΟΣΤΟΛΟΙ,2018-06-03 14:17:00,ΤΡΙΚΑΛΩΝ,Δ. ΤΡΙΚΚΑΙΩΝ,2018-06-03 13:35:00,0.2
7347,ΤΚ ΑΓ.ΠΑΡΑΣΚΕΥΗ,2018-06-03 21:58:00,ΚΑΛΑΜΠΑΚΑΣ,Δ. ΜΕΤΕΩΡΩΝ,2018-06-03 20:55:00,0.5
7348,ΒΑΡΚΑ ΙΤΕΑΣ,2018-06-03 12:55:00,ΚΑΡΔΙΤΣΑΣ,Δ. ΠΑΛΑΜΑ,2018-06-03 12:44:00,1.0
7349,ΜΠΟΥΚΑ-ΓΑΣΤΟΥΝΗΣ,2018-06-03 17:55:00,ΑΜΑΛΙΑΔΑΣ,Δ. ΠΗΝΕΙΟΥ,2018-06-03 16:33:00,1.0
7350,Τ.Κ. ΛΕΒΙΔΙΟΥ,2018-06-03 21:15:00,ΒΥΤΙΝΑΣ,Δ. ΤΡΙΠΟΛΗΣ,2018-06-03 20:00:00,0.01
7351,ΜΕΤΑΜΟΡΦΩΣΗ,2018-06-03 07:20:00,ΚΑΛΑΜΑΤΑΣ,Δ. ΠΥΛΟΥ-ΝΕΣΤΟΡΟΣ,2018-06-03 06:02:00,0.01
7352,Τ.Κ. ΣΚΟΥΡΑΣ,,ΣΠΑΡΤΗΣ,Δ. ΣΠΑΡΤΗΣ,2018-06-03 10:00:00,0.1
7353,ΚΥΡΑ ΒΡΥΣΗ,,,Δ. ΚΟΡΙΝΘΙΩΝ,2018-06-03 16:14:00,1.0
7354,ΣΧΗΜΑΤΑΡΙ,2018-06-03 19:20:00,ΘΗΒΩΝ,Δ. ΤΑΝΑΓΡΑΣ,2018-06-03 18:50:00,0.3
7355,"""""""ΧΑΛΑΣΜΑΤΑ"""", ΠΛΑΚΑΚΙΑ""",2018-06-05 21:00:00,ΧΑΛΚΙΔΑΣ,Δ. ΕΡΕΤΡΙΑΣ,2018-06-03 15:05:00,3.0
7356,ΣΤΑΥΡΟΣ,2018-06-03 17:20:00,ΧΑΛΚΙΔΑΣ,Δ. ΔΙΡΦΥΩΝ - ΜΕΣΣΑΠΙΩΝ,2018-06-03 15:45:00,0.02
7357,ΤΡΙΠΟΔΕΣ ΜΠΛΟΥΜΑΣ ΝΑΞΟΥ,2018-06-03 17:15:00,ΝΑΞΟΥ,Δ. ΝΑΞΟΥ & ΜΙΚΡΩΝ ΚΥΚΛΑΔΩΝ,2018-06-03 14:40:00,1.0
7358,ΠΑΓΑΝΗ ΜΥΤΙΛΗΝΗΣ,2018-06-04 00:05:00,ΔΙΕΥΘΥΝΣΗ ΔΑΣΩΝ ΛΕΣΒΟΥ,Δ. ΛΕΣΒΟΥ,2018-06-03 23:00:00,1.5
7359,ΚΛΗΜΑ,2018-06-03 08:40:00,,Δ. ΦΑΙΣΤΟΥ,2018-06-03 08:45:00,0.05
7360,ΑΡΧΑΝΕΣ,2018-06-03 20:00:00,,Δ. ΑΡΧΑΝΩΝ-ΑΣΤΕΡΟΥΣΙΩΝ,2018-06-03 13:42:00,3.0
7361,ΚΑΙΝΑ ΑΠΟΚΟΡΩΝΟΥ,,,Δ. ΑΠΟΚΟΡΩΝΟΥ,2018-06-03 16:14:00,12.0
7362,ΝΕΑ ΠΟΥΛΑΤΑ,2018-06-03 03:45:00,,Δ. ΚΕΦΑΛΛΟΝΙΑΣ,2018-06-03 01:50:00,0.03
7363,ΑΚΡΩΤΗΡΙ,2018-06-03 21:35:00,,Δ. ΚΕΦΑΛΛΟΝΙΑΣ,2018-06-03 19:14:00,0.5
7364,ΑΓΙΑ ΜΑΡΙΝΑ,,,Δ. ΖΑΚΥΝΘΟΥ,2018-06-03 12:45:00,4.0
7365,ΜΠΕΗ,2018-06-04 20:30:00,ΚΑΠΑΝΔΡΙΤΙΟΥ,Δ. ΜΑΡΑΘΩΝΟΣ,2018-06-04 10:15:00,5.0
7366,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΜΕΣΟΧΩΡΙΟΥ,2018-06-04 15:15:00,Δ/ΝΣΗ ΔΑΑΣΩΝ Ν. ΡΟΔΟΠΗΣ,Δ. ΚΟΜΟΤΗΝΗΣ,2018-06-04 13:10:00,10.0
7367,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ Τ.Δ ΕΡΑΤΕΙΝΟΥ,2018-06-04 11:54:00,,Δ. ΝΕΣΤΟΥ,2018-06-04 11:37:00,0.03
7368,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΧΡΥΣΟΥΠΟΛΗΣ,2018-06-04 16:04:00,,Δ. ΝΕΣΤΟΥ,2018-06-04 15:38:00,0.05
7369,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΧΡΥΣΟΧΩΡΙΟΥ,2018-06-04 21:15:00,,Δ. ΝΕΣΤΟΥ,2018-06-04 17:12:00,0.25
7370,ΞΗΡΟΠΟΤΑΜΟΣ,2018-06-04 19:40:00,ΔΡΑΜΑΣ,Δ. ΔΡΑΜΑΣ,2018-06-04 19:22:00,0.1
7371,ΧΩΡΙΟ ΜΑΓΓΑΝΑ,2018-06-04 13:02:00,ΞΑΝΘΗΣ,Δ. ΤΟΠΕΙΡΟΥ,2018-06-04 12:09:00,0.4
7372,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΡΑΙΔΕΣΤΟΥ,2018-06-04 19:50:00,ΘΕΣΣΑΛΟΝΙΚΗΣ,Δ. ΘΕΡΜΗΣ,2018-06-04 17:50:00,9.0
7373,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΓΙΑΝΝΙΤΣΩΝ,2018-06-04 15:48:00,ΕΔΕΣΣΑΣ,Δ. ΠΕΛΛΑΣ,2018-06-04 15:09:00,1.0
7374,Λειβαδια Χρανης,2018-06-04 18:11:00,Πιεριας,Δ. ΚΑΤΕΡΙΝΗΣ,2018-06-04 17:52:00,3.0
7375,ΚΑΤΩ ΑΙΓΑΝΗ,2018-06-04 13:40:00,ΛΑΡΙΣΑΣ,Δ. ΤΕΜΠΩΝ,2018-06-04 12:10:00,4.0
7376,Τ/Κ ΚΑΛΛΙΘΕΑΣ,2018-06-04 18:45:00,ΕΛΑΣΣΟΝΑΣ,Δ. ΕΛΑΣΣΟΝΑΣ,2018-06-04 17:50:00,0.1
7377,ΡΑΧΗ,2018-06-04 15:33:00,ΠΑΤΡΩΝ,Δ. ΔΥΤΙΚΗΣ ΑΧΑΪΑΣ,2018-06-04 13:37:00,3.0
7378,ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ ΤΚ ΛΕΣΙΝΙΟΥ,2018-06-04 21:20:00,ΜΕΣΟΛΟΓΓΙΟΥ,Δ. ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,2018-06-04 20:31:00,2.0
7379,ΑΝΑΛΗΨΗ,2018-06-04 10:30:00,ΚΑΛΑΜΑΤΑΣ,Δ. ΜΕΣΣΗΝΗΣ,2018-06-04 10:00:00,0.5
7380,ΜΑΝΕΣΗ,,,Δ. ΝΑΥΠΛΙΕΩΝ,2018-06-04 11:50:00,2.0
7381,ΖΕΥΓΟΛΑΤΙΟ,,,Δ. ΒΕΛΟΥ-ΒΟΧΑΣ,2018-06-04 09:29:00,1.5
7382,Τ.Κ. ΝΕΟΥ ΜΟΝΑΣΤΗΡΙΟΥ,2018-06-05 00:50:00,ΛΑΜΙΑΣ,Δ. ΔΟΜΟΚΟΥ,2018-06-04 21:35:00,10.0
7383,ΑΓΙΟΣ ΚΩΝ/ΝΟΣ ΧΑΡΟΥΠΙΕΣ ΣΑΜΟΣ,2018-06-04 19:30:00,ΣΑΜΟΥ,Δ. ΣΑΜΟΥ,2018-06-04 10:46:00,1.0
7384,ΧΟΥΜΕΡΙ,,ΡΕΘΥΜΝΟΥ,Δ. ΜΥΛΟΠΟΤΑΜΟΥ,2018-06-04 23:30:00,0.02
7385,ΓΕΡΑΚΑΡΙ ΔΗΜΟΥ ΑΜΑΡΙΟΥ ΜΟΥΡΝΟΠΛΑΓΙΑ,2018-06-04 17:30:00,ΡΕΘΘΥΜΝΗΣ,Δ. ΑΜΑΡΙΟΥ,2018-06-04 16:02:00,0.1
7386,ΚΟΥΚΟΙ  -  ΝΙΚΗΤΗΣ,,,Δ. ΣΙΘΩΝΙΑΣ,2018-06-05 00:45:00,0.1
7387,ΣΜΙΞΗ - ΣΑΡΤΗ,,,Δ. ΣΙΘΩΝΙΑΣ,2018-06-05 04:30:00,2.0
7388,ΚΑΡΒΟΥΝΑΣ  ΒΟΥΡΒΟΥΡΟΥ,,,Δ. ΣΙΘΩΝΙΑΣ,2018-06-05 07:30:00,5.0
7389,ΑΡΜΕΝΙΣΤΗΣ,,,Δ. ΣΙΘΩΝΙΑΣ,2018-06-05 09:40:00,1.0
7390,ΜΠΑΙΛΑ ΚΑΣΣΑΝΔΡΕΙΑΣ,,,Δ. ΚΑΣΣΑΝΔΡΑΣ,2018-06-05 06:00:00,13.0
7391,ΑΓΡ. ΠΕΡ. ΔΑΦΝΟΧΩΡΙΥΟΥ,2018-06-05 14:10:00,ΚΙΛΚΙΣ,Δ. ΚΙΛΚΙΣ,2018-06-05 11:30:00,23.0
7392,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΜΕΣΗΣ,2018-06-05 14:15:00,ΒΕΡΟΙΑΣ,Δ. ΒΕΡΟΙΑΣ,2018-06-05 12:54:00,0.08
7393,Τ.Κ. ΑΜΜΟΥΔΑΡΑΣ,2018-06-05 12:53:00,ΚΑΣΤΟΡΙΑΣ,Δ. ΟΡΕΣΤΙΔΟΣ,2018-06-05 12:29:00,0.1
7394,ΤΚ ΡΗΓΑΙΟΥ,2018-06-05 20:00:00,ΛΑΡΙΣΑΣ,Δ. ΦΑΡΣΑΛΩΝ,2018-06-05 17:00:00,42.0
7395,ΜΑΥΡΟΒΟΥΝΙ,2018-06-05 12:30:00,ΛΑΡΙΣΑΣ,Δ. ΚΙΛΕΛΕΡ,2018-06-05 10:40:00,35.0
7396,ΑΜΠΕΛΩΝΑΣ,2018-06-05 18:30:00,ΛΑΡΙΣΑΣ,Δ. ΤΥΡΝΑΒΟΥ,2018-06-05 17:05:00,65.0
7397,ΤΥΡΝΑΒΟΣ,2018-06-05 20:35:00,ΛΑΡΙΣΑΣ,Δ. ΤΥΡΝΑΒΟΥ,2018-06-05 18:30:00,3.0
