,address,end_time,forestry,municipality,start_time,area
4217,ΑΓΡ. ΠΕΡ. ΝΕΟΧΩΡΙΟΥ,,ΣΕΡΡΩΝ,Δ. ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,2017-03-23 08:34:00,6.0
4218,ΑΓΡ. ΠΕΡ. ΗΡΑΚΛΕΙΑΣ,,ΣΙΔΗΡΟΚΑΣΤΡΟΥ,Δ. ΗΡΑΚΛΕΙΑΣ,2017-03-23 16:59:00,1.0
4219,ΘΕΟΔΩΡΕΙΟ,,ΣΙΔΗΡΟΚΑΣΤΡΟΥ,Δ. ΣΙΝΤΙΚΗΣ,2017-03-23 20:30:00,0.2
4220,ΑΓΙΟΣ ΠΡΟΔΡΟΜΟΣ,,,Δ. ΠΟΛΥΓΥΡΟΥ,2017-03-23 19:08:00,2.2
4221,ΒΟΥΡΒΟΥΡΟΥ,,,Δ. ΣΙΘΩΝΙΑΣ,2017-03-23 17:45:00,0.1
4222,ΑΓΡ. ΠΕΡ. ΚΟΡΟΜΗΛΙΑΣ,2017-03-23 13:15:00,ΚΙΛΚΙΣ,Δ. ΚΙΛΚΙΣ,2017-03-23 11:55:00,10.0
4223,ΑΓΡ. ΠΕΡ. ΔΡΟΣΑΤΟΥ,2017-03-23 13:40:00,ΚΙΛΚΙΣ,Δ. ΚΙΛΚΙΣ,2017-03-23 13:00:00,0.5
4224,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΓΥΨΟΧΩΡΙΟΥ,2017-03-23 18:20:00,ΕΔΕΣΣΑΣ,Δ. ΠΕΛΛΑΣ,2017-03-23 16:30:00,0.2
4225,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΓΙΑΝΝΤΣΩΝ,2017-03-23 19:00:00,ΕΔΕΣΣΑΣ,Δ. ΠΕΛΛΑΣ,2017-03-23 18:19:00,0.2
4226,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΝΗΣΙΟΥ,2017-03-23 17:30:00,ΒΕΡΟΙΑΣ,Δ. ΑΛΕΞΑΝΔΡΕΙΑΣ,2017-03-23 15:49:00,3.0
4227,Τ.Κ .ΠΑΛΑΙΟΥ ΚΕΡΑΜΙΔΙΟΥ,2017-03-23 17:10:00,ΠΙΕΡΙΑΣ,Δ. ΚΑΤΕΡΙΝΗΣ,2017-03-23 13:46:00,35.0
4228,ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,2017-03-23 17:40:00,ΠΙΕΡΙΑΣ,Δ. ΠΥΔΝΑΣ-ΚΟΛΙΝΔΡΟΥ,2017-03-23 14:30:00,3.0
4229,ΝΟΣΤΙΜΟ,2017-03-23 20:20:00,ΔΝΣΗ ΔΑΣΩΝ ΚΑΣΤΟΡΙΑΣ,Δ. ΟΡΕΣΤΙΔΟΣ,2017-03-23 16:10:00,0.5
4230,ΒΙΓΛΑ,2017-03-23 13:50:00,ΙΩΑΝΝΙΝΩΝ,Δ. ΠΩΓΩΝΙΟΥ,2017-03-23 13:09:00,0.1
4231,ΝΕΟΧΩΡΑΚΙ,2017-03-23 12:00:00,ΑΡΤΑΣ,Δ. ΑΡΤΑΙΩΝ,2017-03-23 11:00:00,0.1
4232,Τ.Κ ΠΑΠΑΔΑΤΕΣ,,,Δ. ΖΗΡΟΥ,2017-03-23 17:49:00,1.0
4233,ΚΕΡΑΙΕΣ,2017-03-23 18:00:00,ΑΓΙΑΣ,Δ. ΑΓΙΑΣ,2017-03-23 13:30:00,4.0
4234,ΣΥΚΟΥΡΙΟ,2017-03-23 19:45:00,ΛΑΡΙΣΑΣ,Δ. ΤΕΜΠΩΝ,2017-03-23 19:00:00,1.0
4235,ΚΙΣΣΟΣ,2017-03-24 19:30:00,ΒΟΛΟΥ,Δ. ΖΑΓΟΡΑΣ-ΜΟΥΡΕΣΙΟΥ,2017-03-23 14:08:00,5.0
4236,ΜΠΕΓΟΥΛΑΚΙ,,,Δ. ΠΑΤΡΕΩΝ,2017-03-23 15:28:00,0.2
4237,Τ.Δ.ΔΟΥΜΕΝΑ,2017-03-23 19:30:00,ΚΑΛΑΒΡΥΤΩΝ,Δ. ΚΑΛΑΒΡΥΤΩΝ,2017-03-23 14:49:00,7.0
4238,ΠΛΗΣΙΟΝ LIDL ΜΕΣΟΛΟΓΓΙΟΥ,2017-03-23 02:45:00,ΜΕΣΟΛΟΓΓΙΟΥ,Δ. ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,2017-03-23 01:50:00,1.0
4239,ΓΟΥΡΙΩΤΙΣΣΑ,2017-03-23 20:20:00,ΑΓΡΙΝΙΟΥ,Δ. ΑΓΡΙΝΙΟΥ,2017-03-23 19:40:00,0.05
4240,ΑΓ.ΣΤΕΦΑΝΟ,2017-03-23 14:45:00,,Δ. ΞΗΡΟΜΕΡΟΥ,2017-03-23 13:55:00,0.1
4241,ΑΓΙΟΣ ΙΩΑΝΝΗΣ,2017-03-23 17:25:00,ΠΥΡΓΟΥ,Δ. ΠΥΡΓΟΥ,2017-03-23 16:35:00,1.5
4242,ΛΑΝΤΖΟΙ,2017-03-23 21:00:00,ΠΥΡΓΟΥ,Δ. ΠΥΡΓΟΥ,2017-03-23 19:40:00,1.0
4243,ΚΟΣΚΙΝΑ,2017-03-23 15:25:00,ΠΥΡΓΟΥ,Δ. ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ,2017-03-23 14:43:00,0.02
4244,ΦΛΟΚΑ,2017-03-23 17:57:00,ΠΥΡΓΟΥ,Δ. ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ,2017-03-23 16:57:00,0.02
4245,ΔΙΑΣΕΛΛΑ,,ΟΛΥΜΠΙΑΣ,Δ. ΑΝΔΡΙΤΣΑΙΝΑΣ - ΚΡΕΣΤΕΝΩΝ,2017-03-23 13:03:00,0.01
4246,ΛΑΓΚΑΔΑ,2017-03-23 18:45:00,ΚΑΛΑΜΑΤΑΣ,Δ. ΚΑΛΑΜΑΤΑΣ,2017-03-23 18:05:00,0.1
4247,ΔΙΒΑΡΙ,2017-03-23 15:45:00,ΚΑΛΑΜΑΤΑΣ,Δ. ΠΥΛΟΥ-ΝΕΣΤΟΡΟΣ,2017-03-23 14:07:00,1.0
4248,ΣΠΑΘΟΒΟΥΝΙ,,,Δ. ΚΟΡΙΝΘΙΩΝ,2017-03-23 13:38:00,2.5
4249,ΣΟΦΙΚΟ-ΚΤΗΜΑ ΜΑΤΣΗ,,,Δ. ΚΟΡΙΝΘΙΩΝ,2017-03-23 18:27:00,0.5
4250,ΑΜΠΕΛΟΥΡΓΙΚΟ ΑΛΙΑΡΤΟΥ,2017-03-23 18:30:00,ΛΙΒΑΔΕΙΑΣ,Δ. ΑΛΙΑΡΤΟΥ,2017-03-23 16:50:00,11.0
4251,"""""""ΜΟΝΟΠΕΤΙ""""""",2017-03-23 18:00:00,ΑΛΙΒΕΡΙΟΥ,Δ. ΚΥΜΗΣ - ΑΛΙΒΕΡΙΟΥ,2017-03-23 14:05:00,5.0
4252,ΒΡΙΣΑ ΠΟΛΙΧΝΙΤΟΥ,2017-03-23 18:15:00,Δ/ΝΣΗ ΔΑΣΩΝ ΛΕΣΒΟΥ,Δ. ΛΕΣΒΟΥ,2017-03-23 13:55:00,8.0
4253,ΑΧΛΑΔΙΑ ΤΡΥΓΩΝΑ ΠΛΩΜΑΡΙΟΥ,2017-03-23 21:35:00,Δ/ΝΣΗ ΔΑΣΩΝ ΛΕΣΒΟΥ,Δ. ΛΕΣΒΟΥ,2017-03-23 15:50:00,0.7
4254,ΑΓΚΑΡΥΩΝΕΣ,2017-03-23 11:45:00,ΛΕΣΒΟΥ,Δ. ΛΗΜΝΟΥ,2017-03-23 11:00:00,1.0
4255,ΞΥΛΑΚΙ - ΒΑΘΥ ΡΕΜΑ,2017-03-23 14:40:00,,Δ. ΣΑΜΟΥ,2017-03-23 14:20:00,0.1
4256,ΚΑΛΑΤΑ ΑΓΙΑΣ ΘΕΚΛΗΣ,2017-03-23 16:45:00,ΚΕΦΑΛΛΗΝΙΑΣ,Δ. ΚΕΦΑΛΛΟΝΙΑΣ,2017-03-23 16:14:00,0.2
4257,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΣΤΡΥΜΗΣ,2017-03-24 09:05:00,Δ/ΝΣΗ ΔΑΣΩΝ Ν. ΡΟΔΟΠΗΣ,Δ. ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ,2017-03-24 08:50:00,0.5
4258,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΚΟΠΤΕΡΟΥ,2017-03-24 02:30:00,Δ/ΝΣΗ ΔΑΣΩΝ Ν. ΡΟΔΟΠΗΣ,Δ. ΙΑΣΜΟΥ,2017-03-24 02:04:00,0.1
4259,ΣΟΦΙΚΟ,,,Δ. ΚΟΡΙΝΘΙΩΝ,2017-03-25 18:27:00,1.5
4260,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΔΙΑΛΑΜΠΗΣ,2017-03-24 20:25:00,Δ/ΝΣΗ ΔΑΣΩΝ Ν. ΡΟΔΟΠΗΣ,Δ. ΙΑΣΜΟΥ,2017-03-24 20:00:00,0.1
4261,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΠΑΜΦΟΡΟΥ,2017-03-24 20:00:00,ΡΟΔΟΠΗΣ,Δ. ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ,2017-03-24 18:35:00,0.5
4262,Δ.Δ. ΠΟΤΑΜΙΑΣ ΘΑΣΟΥ,2017-03-24 16:30:00,ΘΑΣΟΥ,Δ. ΘΑΣΟΥ,2017-03-24 13:00:00,2.0
4263,ΑΥΛΗ,2017-03-24 12:00:00,ΚΑΒΑΛΑΣ,Δ. ΠΑΓΓΑΙΟΥ,2017-03-24 09:50:00,2.0
4264,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΑΓΙΑΣΜΑΤΟΣ,2017-03-24 22:45:00,,Δ. ΝΕΣΤΟΥ,2017-03-24 17:55:00,35.0
4265,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ Τ.Δ ΠΗΓΩΝ-ΚΕΡΑΜΩΤΗΣ,2017-03-24 22:45:00,,Δ. ΝΕΣΤΟΥ,2017-03-24 18:30:00,0.1
4266,Τ.Κ ΠΕΡΙΘΩΡΙΟΥ,2017-03-24 14:45:00,Κ. ΝΕΥΡΟΚΟΠΙΟΥ,Δ. ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,2017-03-24 14:09:00,1.5
4267,ΠΕΡΙΘΩΡΙ,2017-03-24 14:45:00,Κ.ΝΕΥΡΟΚΟΠΙΟΥ,Δ. ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,2017-03-24 14:09:00,1.0
4268,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΙΚΑΣΤΑΝΕΩΝ,2017-03-24 19:10:00,ΔΙΔ/ΧΟΥ,Δ. ΟΡΕΣΤΙΑΔΑΣ,2017-03-24 18:12:00,0.2
4269,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΜΑΡΑΣΙΩΝ,2017-03-24 12:45:00,ΔΙΔ/ΧΟΥ,Δ. ΟΡΕΣΤΙΑΔΑΣ,2017-03-24 11:40:00,30.0
4270,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΚΡΙΟΥ,2017-03-24 17:10:00,ΔΙΔΧΟΥ,Δ. ΟΡΕΣΤΙΑΔΑΣ,2017-03-24 16:30:00,15.0
4271,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΑΣΠΡΟΝΕΡΙΟΥ,,,Δ. ΔΙΔΥΜΟΤΕΙΧΟΥ,2017-03-24 11:43:00,2.0
4272,ΠΛΗΣΙΟΝ ΚΟΜΒΟΥ ΘΥΡΕΑΣ,,,Δ. ΔΙΔΥΜΟΤΕΙΧΟΥ,2017-03-24 16:09:00,0.2
4273,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΧΙΟΝΑΔΩΝ,,,Δ. ΔΙΔΥΜΟΤΕΙΧΟΥ,2017-03-24 18:49:00,5.0
4274,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΜΙΚΡΟΥ ΔΕΡΕΙΟΥ,,,Δ. ΣΟΥΦΛΙΟΥ,2017-03-24 11:15:00,15.0
4275,ΠΕΔΙΟ ΒΟΛΗΣ ΣΟΥΦΛΙΟΥ,,,Δ. ΣΟΥΦΛΙΟΥ,2017-03-24 14:44:00,7.0
4276,ΑΝΩ ΒΡΑΣΝΑ,2017-03-24 09:35:00,ΣΤΑΥΡΟΥ,Δ. ΒΟΛΒΗΣ,2017-03-24 09:00:00,0.5
4277,ΤΚ ΠΛΑΤΑΝΑΚΙΑ,2017-03-25 08:00:00,ΣΙΔΗΡΟΚΑΣΤΡΟΥ,Δ. ΣΙΝΤΙΚΗΣ,2017-03-24 16:30:00,20.0
4278,Τ.κ ΠΑΛΑΙΟΧΩΡΑΣ,,ΠΟΛΥΓΥΡΟΥ,Δ. ΠΟΛΥΓΥΡΟΥ,2017-03-24 12:40:00,0.03
4279,ΑΓ. ΠΕΡ. ΔΡΟΣΑΤΟΥ,2017-03-24 20:55:00,ΚΙΛΚΙΣ,Δ. ΚΙΛΚΙΣ,2017-03-24 19:10:00,0.5
4280,Τ. Κ. ΚΑΛΥΒΙΩΝ ΔΗΜΟΥ ΣΚΥΔΡΑΣ,,,Δ. ΣΚΥΔΡΑΣ,2017-03-24 18:50:00,0.1
4281,Τ.Κ. ΛΙΠΟΧΩΡΙΟΥ ΔΗΜΟΥ ΣΚΥΔΡΑΣ,,,Δ. ΣΚΥΔΡΑΣ,2017-03-24 21:40:00,0.3
4282,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΓΙΑΝΝΙΤΣΩΝ,2017-03-24 17:00:00,ΕΔΕΣΣΑΣ,Δ. ΠΕΛΛΑΣ,2017-03-24 15:10:00,3.0
4283,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,2017-03-24 19:02:00,ΕΔΕΣΣΑΣ,Δ. ΠΕΛΛΑΣ,2017-03-24 17:45:00,2.0
4284,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΚΛΕΙΔΙΟΥ,2017-03-24 16:30:00,ΒΕΡΟΙΑΣ,Δ. ΑΛΕΞΑΝΔΡΕΙΑΣ,2017-03-24 13:09:00,10.0
4285,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΛΟΥΤΡΟΥ,2017-03-24 18:15:00,ΒΕΡΟΙΑΣ,Δ. ΑΛΕΞΑΝΔΡΕΙΑΣ,2017-03-24 16:09:00,40.0
4286,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΠΛΑΤΑΝΟΥ,2017-03-24 19:15:00,ΒΕΡΟΙΑΣ,Δ. ΑΛΕΞΑΝΔΡΕΙΑΣ,2017-03-24 18:19:00,3.0
4287,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΝΗΣΕΛΟΥΔΙΟΥ,2017-03-24 19:45:00,ΒΕΡΟΙΑΣ,Δ. ΑΛΕΞΑΝΔΡΕΙΑΣ,2017-03-24 18:34:00,1.0
4288,ΒΕΛΑΝΙΔΙΑ,2017-03-24 18:00:00,ΓΡΕΒΕΝΩΝ,Δ. ΓΡΕΒΕΝΩΝ,2017-03-24 12:44:00,35.0
4289,Τ.Κ ΜΑΥΡΑΝΑΙΩΝ,2017-03-24 18:00:00,ΓΡΕΒΕΝΩΝ,Δ. ΓΡΕΒΕΝΩΝ,2017-03-24 17:00:00,6.0
4290,"""""""ΜΠΟΥΡΑΖΑΝΙ""""""",2017-03-24 16:53:00,ΚΟΝΙΤΣΑΣ,Δ. ΚΟΝΙΤΣΑΣ,2017-03-24 16:06:00,1.0
4291,"""""""Τ.Κ. ΚΕΦΑΛΟΒΡΥΣΟΥ""""""",2017-03-25 00:45:00,ΙΩΑΝΝΙΝΩΝ,Δ. ΠΩΓΩΝΙΟΥ,2017-03-24 22:30:00,0.2
4292,ΠΑΛΑΙΟΧΩΡΙ ΑΘΑΜΑΝΙΟΥ,2017-03-24 23:55:00,ΑΡΤΑΣ,Δ. ΚΕΝΤΡΙΚΩΝ ΤΖΟΥΜΕΡΚΩΝ,2017-03-24 19:20:00,8.0
4293,Δ.Δ ΚΑΡΥΤΣΑ ΚΙΣΣΑΒΟΥ,2017-03-25 18:30:00,ΑΓΙΑΣ,Δ. ΑΓΙΑΣ,2017-03-24 10:40:00,5.0
4294,ΔΡΑΚΕΙΑ,2017-03-24 14:15:00,ΒΟΛΟΥ,Δ. ΒΟΛΟΥ,2017-03-24 12:00:00,0.5
4295,ΤΡΙΓΩΝΑ- Τ.Κ. ΔΡΑΚΟΤΡΥΠΑΣ,2017-03-24 18:30:00,ΜΟΥΖΑΚΙΟΥ,Δ. ΜΟΥΖΑΚΙΟΥ,2017-03-24 17:45:00,5.0
4296,ΣΑΓΑΙΙΚΑ,,ΠΑΤΡΩΝ,Δ. ΔΥΤΙΚΗΣ ΑΧΑΪΑΣ,2017-03-24 12:50:00,0.5
4297,ΑΛΙΣΣΟΣ,,ΠΑΤΡΩΝ,Δ. ΔΥΤΙΚΗΣ ΑΧΑΪΑΣ,2017-03-24 17:15:00,1.0
4298,ΑΝΩ ΣΑΛΜΕΝΙΚΟ,,ΠΑΤΡΩΝ,Δ. ΑΙΓΙΑΛΕΙΑΣ,2017-03-24 16:08:00,2.0
4299,ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ ΥΔΡΑΓΩΓΕΙΑ,2017-03-24 13:10:00,ΜΕΣΟΛΟΓΓΙΟΥ,Δ. ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,2017-03-24 11:03:00,3.0
4300,Τ.ΚΛΕΣΙΝΙΟΥ ΠΑΝΑΓΙΑ ΛΕΣΣΝΙΩΤΙΣΣΑ,2017-03-24 16:45:00,ΜΕΣΟΛΟΓΓΙΟΥ,Δ. ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,2017-03-24 14:40:00,3.0
4301,ΑΓΙΟΣ ΗΛΙΑΣ,2017-03-24 21:10:00,ΜΕΣΟΛΟΓΓΙΟΥ,Δ. ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,2017-03-24 19:44:00,3.0
4302,ΠΑΛΑΙΟΚΑΡΥΑ(ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ),2017-03-24 18:00:00,ΑΓΡΙΝΙΟΥ,Δ. ΑΓΡΙΝΙΟΥ,2017-03-24 10:25:00,5.0
4303,ΚΑΜΠΟΣ ΠΑΝΑΙΤΩΛΙΟΥ,2017-03-24 14:30:00,ΑΓΡΙΝΙΟΥ,Δ. ΑΓΡΙΝΙΟΥ,2017-03-24 13:40:00,0.05
4304,ΔΟΚΙΜΙ,2017-03-24 16:05:00,ΑΓΡΙΝΙΟΥ,Δ. ΑΓΡΙΝΙΟΥ,2017-03-24 15:15:00,0.05
4305,ΧΕΙΜΑΔΙΟ,2017-03-24 15:05:00,ΠΥΡΓΟΥ,Δ. ΠΥΡΓΟΥ,2017-03-24 12:35:00,2.5
4306,ΑΝΑΛΗΨΗ,2017-03-24 18:30:00,ΑΜΑΛΙΑΔΑΣ,Δ. ΑΝΔΡΑΒΙΔΑΣ - ΚΥΛΛΗΝΗΣ,2017-03-24 16:55:00,1.0
4307,ΔΕΡΒΕΝΙ,2017-03-25 11:40:00,ΤΡΙΠΟΛΗΣ,Δ. ΜΕΓΑΛΟΠΟΛΗΣ,2017-03-24 18:59:00,2.5
4308,ΑΡΑΠΟΧΩΡΙ -Τ.Κ. ΛΟΓΓΑ,2017-03-24 12:55:00,ΚΑΛΑΜΑΤΑΣ,Δ. ΜΕΣΣΗΝΗΣ,2017-03-24 11:33:00,0.1
4309,ΠΑΛΙΟΧΩΡΑ ΑΒΙΑΣ,2017-03-24 20:50:00,ΚΑΛΑΜΑΤΑΣ,Δ. ΔΥΤΙΚΗΣ ΜΑΝΗΣ,2017-03-24 19:47:00,0.1
4310,Τ.Κ. ΑΝΔΑΝΙΑΣ,2017-03-24 16:55:00,ΚΑΛΑΜΑΤΑΣ,Δ. ΟΙΧΑΛΙΑΣ,2017-03-24 14:50:00,3.0
4311,ΜΕΣΟΠΟΤΑΜΟΣ,2017-03-24 18:15:00,ΚΑΛΑΜΑΤΑΣ,Δ. ΠΥΛΟΥ-ΝΕΣΤΟΡΟΣ,2017-03-24 15:32:00,0.53
4312,Τ.Κ.ΜΑΓΟΥΛΑΣ,,ΣΠΑΡΤΗ,Δ. ΣΠΑΡΤΗΣ,2017-03-24 14:44:00,1.5
4313,ΔΗΜΑΙΝΑ,,,Δ. ΕΠΙΔΑΥΡΟΥ,2017-03-24 16:05:00,1.5
4314,ΚΟΥΤΣΟΠΟΔΙ,,,Δ. ΑΡΓΟΥΣ - ΜΥΚΗΝΩΝ,2017-03-24 11:54:00,0.1
4315,ΖΕΜΕΝΟ,2017-03-25 17:00:00,ΞΥΛΟΚΑΣΤΡΟΥ,Δ. ΞΥΛΟΚΑΣΤΡΟΥ-ΕΥΡΩΣΤΙΝΗΣ,2017-03-24 15:15:00,5.0
4316,ΒΙΒΟΣ,2017-03-24 13:20:00,ΑΤΑΛΑΝΤΗΣ,Δ. ΛΟΚΡΩΝ ,2017-03-24 12:33:00,0.1
4317,ΟΚΤΩΝΙΑ,2017-03-24 14:35:00,ΑΛΙΒΕΡΙΟΥ,Δ. ΚΥΜΗΣ - ΑΛΙΒΕΡΙΟΥ,2017-03-24 10:10:00,1.5
4318,ΜΑΝΙΚΙΑ,2017-03-24 16:40:00,ΑΛΙΒΕΡΙΟΥ,Δ. ΚΥΜΗΣ - ΑΛΙΒΕΡΙΟΥ,2017-03-24 11:15:00,3.0
4319,ΚΑΛΛΙΑΝΟΙ,2017-03-24 14:50:00,ΑΛΙΒΕΡΙΟΥ,Δ. ΚΥΜΗΣ - ΑΛΙΒΕΡΙΟΥ,2017-03-24 13:10:00,1.0
4320,ΜΕΣΟΧΩΡΙΑ,2017-03-24 12:35:00,ΑΛΙΒΕΡΙΟΥ,Δ. ΚΑΡΥΣΤΟΥ,2017-03-24 10:50:00,1.0
4321,"""""""ΑΡΤΕΜΗΣ""""  ΡΟΒΙΕΣ""",2017-03-24 19:18:00,ΛΙΜΝΗΣ,Δ. ΜΑΝΤΟΥΔΙΟΥ - ΛΙΜΝΗΣ - ΑΓΙΑΣ ΑΝΝΑΣ,2017-03-24 12:21:00,1.0
4322,"""""""ΚΟΤΣΙΚΑΣ"""" ΔΑΦΝΗ""",2017-03-24 17:17:00,ΛΙΜΝΗΣ,Δ. ΜΑΝΤΟΥΔΙΟΥ - ΛΙΜΝΗΣ - ΑΓΙΑΣ ΑΝΝΑΣ,2017-03-24 15:46:00,0.2
4323,"""""""ΚΑΜΠΟΣ"""" ΠΗΛΙΟΥ""",2017-03-24 21:40:00,ΛΙΜΝΗΣ,Δ. ΜΑΝΤΟΥΔΙΟΥ - ΛΙΜΝΗΣ - ΑΓΙΑΣ ΑΝΝΑΣ,2017-03-24 19:40:00,2.0
4324,ΚΑΣΠΑΚΑΣ ΛΗΜΝΟΥ,2017-03-24 14:30:00,ΛΕΣΒΟΥ,Δ. ΛΗΜΝΟΥ,2017-03-24 12:20:00,2.0
4325,ΧΑΛΚΕΙΟΣ,2017-03-24 16:50:00,,Δ. ΧΙΟΥ,2017-03-24 16:00:00,0.01
4326,ΖΕΡΒΟΥ ΒΑΘΕΟΣ ΣΑΜΟΥ,2017-03-24 14:25:00,,Δ. ΣΑΜΟΥ,2017-03-24 13:40:00,0.15
4327,ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ,2017-03-24 14:35:00,,Δ. ΚΕΡΚΥΡΑΣ,2017-03-24 13:00:00,0.01
4328,ΚΟΙΛΙΩΜΕΝΟΣ,,,Δ. ΖΑΚΥΝΘΟΥ,2017-03-24 16:55:00,3.0
4329,ΒΟΥΓΙΑΤΟ,,,Δ. ΖΑΚΥΝΘΟΥ,2017-03-24 19:50:00,0.1
4330,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ Τ.Δ ΜΟΝΑΣΤΗΡΑΚΙΟΥ,2017-03-25 22:00:00,,Δ. ΝΕΣΤΟΥ,2017-03-25 16:45:00,20.0
4331,Τ.Κ. ΧΡΥΣΟΚΕΦΑΛΟΥ,2017-03-25 13:45:00,Κ. ΝΕΥΡΟΚΟΠΙΟΥ,Δ. ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,2017-03-25 13:09:00,0.4
4332,ΕΧΙΝΟΣ,2017-03-25 15:30:00,ΞΑΝΘΗΣ,Δ. ΜΥΚΗΣ,2017-03-25 14:04:00,0.01
4333,ΔΑΣΟΧΩΡΙ,2017-03-25 22:30:00,ΞΑΝΘΗΣ,Δ. ΤΟΠΕΙΡΟΥ,2017-03-25 20:19:00,1.0
4334,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΚΑΡΩΤΗΣ,,,Δ. ΔΙΔΥΜΟΤΕΙΧΟΥ,2017-03-25 13:00:00,15.0
4335,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΒΡΥΣΙΚΩΝ,,,Δ. ΔΙΔΥΜΟΤΕΙΧΟΥ,2017-03-25 15:35:00,7.0
4336,ΠΛΑΤΑΝΑΚΙΑ - ΚΑΣΤΑΝΟΥΣΑ,,ΣΙΔΗΡΟΚΑΣΤΡΟΥ,Δ. ΣΙΝΤΙΚΗΣ,2017-03-25 17:40:00,4.0
4337,ΤΚ ΠΛΑΤΑΝΑΚΙΩΝ,,ΣΙΔΗΡΟΚΑΣΤΡΟΥ,Δ. ΣΙΝΤΙΚΗΣ,2017-03-25 18:50:00,80.0
4338,ΤΚ ΚΟΡΜΙΣΤΑΣ,,ΣΕΡΡΩΝ,Δ. ΑΜΦΙΠΟΛΗΣ,2017-03-25 13:45:00,2.5
4339,ΔΑΣΙΚΗ ΠΕΡ Τ.Κ ΘΕΟΔΟΣΙΩΝ,2017-03-26 20:30:00,ΚΙΛΚΙΣ,Δ. ΚΙΛΚΙΣ,2017-03-25 12:44:00,100.0
4340,ΑΓΡ. ΠΕΡ. ΓΥΝΑΙΚΟΚΑΣΤΡΟΥ,2017-03-25 20:40:00,ΚΙΛΚΙΣ,Δ. ΚΙΛΚΙΣ,2017-03-25 16:40:00,20.0
4341,Τ.Κ. ΠΟΛΥΚΑΡΠΗΣ,2017-03-25 14:25:00,ΑΡΙΔΑΙΑΣ,Δ. ΑΛΜΩΠΙΑΣ,2017-03-25 13:00:00,0.2
4342,"""ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΜΑΚΡΟΧΩΡΙΟΥ, ΘΕΣΗ """"ΛΥΚΟΠΙΑ""""""",2017-03-25 19:30:00,ΒΕΡΟΙΑΣ,Δ. ΒΕΡΟΙΑΣ,2017-03-25 18:24:00,0.1
4343,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΝΕΟΧΩΡΙΟΥ,2017-03-25 14:50:00,ΒΕΡΟΙΑΣ,Δ. ΑΛΕΞΑΝΔΡΕΙΑΣ,2017-03-25 13:59:00,25.0
