,address,end_time,forestry,municipality,start_time,area,longitude,latitude,temp,RH,wind,rain,conditions,description
22,ΤΕΜΕΝΙΑ ΣΕΛΙΝΟΥ (Δ.Ε. ΑΝΑΤ.ΣΕΛΙΝΟΥ),2018-11-08 12:50:00,ΧΑΝΙΩΝ,Δ. ΚΑΝΤΑΝΟΥ-ΣΕΛΙΝΟΥ,2018-11-08 11:45:00,0.05,,,,,,,,
23,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΚΙΚΙΔΙΟΥ,2018-11-09 12:40:00,Δ/ΝΣΗ ΔΑΣΩΝ Ν. ΡΟΔΟΠΗΣ,Δ. ΚΟΜΟΤΗΝΗΣ,2018-11-09 11:45:00,1.0,,,,,,,,
24,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ Ν. ΣΙΔΗΡΟΧΩΡΙΟΥ,2018-11-09 15:01:00,Σ/ΝΣΗ ΔΑΣΩΝ Ν. ΡΟΔΟΠΗΣ,Δ. ΚΟΜΟΤΗΝΗΣ,2018-11-09 14:25:00,1.0,,,,,,,,
25,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ Ν. ΣΙΔΗΡΟΧΩΡΙΟΥ,2018-11-09 15:00:00,Δ/ΝΣΗ ΔΑΣΩΝ Ν. ΡΟΔΟΠΗΣ,Δ. ΚΟΜΟΤΗΝΗΣ,2018-11-09 14:29:00,1.0,,,,,,,,
26,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΚΟΜΟΤΗΝΗΣ,2018-11-09 16:47:00,Δ/ΝΣΗ ΔΑΣΩΝ Ν. ΡΟΔΟΠΗΣ,Δ. ΚΟΜΟΤΗΝΗΣ,2018-11-09 16:00:00,5.0,,,,,,,,
27,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΣΩΣΤΗ,2018-11-09 18:55:00,Δ/ΝΣΗ ΔΑΣΩΝ Ν. ΡΟΔΟΠΗΣ,Δ. ΙΑΣΜΟΥ,2018-11-09 18:30:00,0.1,,,,,,,,
28,5ΧΛΜ ΚΟΜΟΤΗΝΗΣ ΞΑΝΘΗΣ,2018-11-09 20:09:00,Δ/ΝΣΗ ΔΑΣΩΝ Ν. ΡΟΔΟΠΗΣ,Δ. ΚΟΜΟΤΗΝΗΣ,2018-11-09 19:45:00,0.5,25.3893,41.1192,19.0,64.7,23.5,0.0,Partially cloudy,Clearing in the afternoon.
29,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΛΟΦΑΡΙΟΥ,2018-11-09 19:17:00,,Δ. ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ,2018-11-09 18:20:00,0.1,,,,,,,,
30,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΝΕΑΣ ΚΑΡΥΑΣ,2018-11-09 19:00:00,,Δ. ΝΕΣΤΟΥ,2018-11-09 18:15:00,0.03,,,,,,,,
31,ΚΕΦΑΛΑΡΙ,2018-11-09 09:05:00,ΔΡΑΜΑΣ,Δ. ΔΟΞΑΤΟΥ,2018-11-09 08:04:00,4.5,21.2684,40.5714,15.5,79.6,7.6,0.0,Partially cloudy,Partly cloudy throughout the day.
32,ΜΑΥΡΟΛΕΥΚΗ,2018-11-09 13:20:00,ΔΡΑΜΑΣ,Δ. ΠΡΟΣΟΤΣΑΝΗΣ,2018-11-09 12:40:00,15.0,24.1002,41.055,19.4,66.6,18.4,0.0,Partially cloudy,Partly cloudy throughout the day.
33,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΚΟΥΤΣΟΥ,2018-11-09 03:45:00,ΞΑΝΘΗΣ,Δ. ΑΒΔΗΡΩΝ,2018-11-09 02:45:00,5.0,,,,,,,,
34,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΑΛΕΞ/ΠΟΛΗΣ,2018-11-09 12:10:00,,Δ. ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,2018-11-09 11:20:00,2.0,,,,,,,,
35,ΤΕΡΜΑ ΑΒΑΝΤΟΣ,2018-11-09 17:10:00,ΑΛΕΑΝΔΡΟΥΠΟΛΗΣ,Δ. ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,2018-11-09 16:30:00,1.0,25.8845,40.8536,19.0,63.6,29.2,0.0,Partially cloudy,Clearing in the afternoon.
36,ΑΓΡΟΤΙΚΗΠΕΡΙΟΧΗ ΔΡΥΜΟΥ,2018-11-09 16:10:00,ΛΑΓΚΑΔΑ,Δ. ΩΡΑΙΟΚΑΣΤΡΟΥ,2018-11-09 14:06:00,6.1,,,,,,,,
