address,agricultural_area_burned,airplanes_cl215,airplanes_cl415,airplanes_gru,airplanes_pzl,army,crop_residue_area_burned,dumping_ground_area_burned,end_time,firefighters,fire_station,fire_trucks,forest_area_burned,forestry,grove_area_burned,helicopters,local_authorities_vehicles,location,low_vegetation_area_burned,machinery,municipality,other_firefighters,prefecture,start_time,swamp_area_burned,volunteers,water_tank_trucks,wildland_crew,woodland_area_burned
ΑΓΙΟΣ ΙΩΑΝΝΗΣ,0.1,0,0,0,0,0,0.0,0.0,2018-11-08 19:43:00,3,Π.Υ. ΜΟΛΑΩΝ,1,0.0,ΜΟΛΑΩΝ,0.0,0,0,ΑΓΙΟΣ ΙΩΑΝΝΗΣ,0.0,0,Δ. ΕΥΡΩΤΑ,0,ΛΑΚΩΝΙΑΣ,2018-11-08 18:15:00,0.0,0,0,0,0.0
ΣΤΑΛΟΣ,0.05,0,0,0,0,0,0.0,0.0,,3,1ος  Π.Σ. ΧΑΝΙΩΝ,1,0.0,,0.0,0,0,,0.0,0,Δ. ΧΑΝΙΩΝ,0,ΧΑΝΙΩΝ,2018-11-08 12:45:00,0.0,0,0,0,0.0
ΤΕΜΕΝΙΑ ΣΕΛΙΝΟΥ (Δ.Ε. ΑΝΑΤ.ΣΕΛΙΝΟΥ),0.0,0,0,0,0,0,0.0,0.0,2018-11-08 12:50:00,2,Π.Κ. ΚΑΝΤΑΝΟΥ,1,0.0,ΧΑΝΙΩΝ,0.0,0,0,ΤΕΜΕΝΙΑ,0.05,0,Δ. ΚΑΝΤΑΝΟΥ-ΣΕΛΙΝΟΥ,0,ΧΑΝΙΩΝ,2018-11-08 11:45:00,0.0,0,0,0,0.0
ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΚΙΚΙΔΙΟΥ,0.0,0,0,0,0,0,0.0,0.0,2018-11-09 12:40:00,2,Π.Υ. ΚΟΜΟΤΗΝΗΣ,1,0.0,Δ/ΝΣΗ ΔΑΣΩΝ Ν. ΡΟΔΟΠΗΣ,0.0,0,0,,1.0,0,Δ. ΚΟΜΟΤΗΝΗΣ,0,ΡΟΔΟΠΗΣ,2018-11-09 11:45:00,0.0,0,0,0,0.0
ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ Ν. ΣΙΔΗΡΟΧΩΡΙΟΥ,0.0,0,0,0,0,0,0.0,0.0,2018-11-09 15:01:00,2,Π.Υ. ΚΟΜΟΤΗΝΗΣ,1,0.0,Σ/ΝΣΗ ΔΑΣΩΝ Ν. ΡΟΔΟΠΗΣ,0.0,0,0,,1.0,0,Δ. ΚΟΜΟΤΗΝΗΣ,0,ΡΟΔΟΠΗΣ,2018-11-09 14:25:00,0.0,0,0,0,0.0
ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ Ν. ΣΙΔΗΡΟΧΩΡΙΟΥ,0.0,0,0,0,0,0,0.0,0.0,2018-11-09 15:00:00,2,Π.Υ. ΚΟΜΟΤΗΝΗΣ,1,0.0,Δ/ΝΣΗ ΔΑΣΩΝ Ν. ΡΟΔΟΠΗΣ,0.0,0,0,,1.0,0,Δ. ΚΟΜΟΤΗΝΗΣ,0,ΡΟΔΟΠΗΣ,2018-11-09 14:29:00,0.0,0,0,0,0.0
ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΚΟΜΟΤΗΝΗΣ,0.0,0,0,0,0,0,4.0,0.0,2018-11-09 16:47:00,2,Π.Υ. ΚΟΜΟΤΗΝΗΣ,1,0.0,Δ/ΝΣΗ ΔΑΣΩΝ Ν. ΡΟΔΟΠΗΣ,0.0,0,0,,1.0,0,Δ. ΚΟΜΟΤΗΝΗΣ,0,ΡΟΔΟΠΗΣ,2018-11-09 16:00:00,0.0,0,0,0,0.0
ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΣΩΣΤΗ,0.0,0,0,0,0,0,0.0,0.0,2018-11-09 18:55:00,2,Π.Υ. ΚΟΜΟΤΗΝΗΣ,1,0.0,Δ/ΝΣΗ ΔΑΣΩΝ Ν. ΡΟΔΟΠΗΣ,0.0,0,0,,0.1,0,Δ. ΙΑΣΜΟΥ,0,ΡΟΔΟΠΗΣ,2018-11-09 18:30:00,0.0,0,0,0,0.0
5ΧΛΜ ΚΟΜΟΤΗΝΗΣ ΞΑΝΘΗΣ,0.0,0,0,0,0,0,0.0,0.0,2018-11-09 20:09:00,2,Π.Υ. ΚΟΜΟΤΗΝΗΣ,1,0.0,Δ/ΝΣΗ ΔΑΣΩΝ Ν. ΡΟΔΟΠΗΣ,0.0,0,0,,0.5,0,Δ. ΚΟΜΟΤΗΝΗΣ,0,ΡΟΔΟΠΗΣ,2018-11-09 19:45:00,0.0,0,0,0,0.0
ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΛΟΦΑΡΙΟΥ,0.0,0,0,0,0,0,0.0,0.0,2018-11-09 19:17:00,2,Π.Υ. ΒΙ.ΠΕ. ΚΟΜΟΤΗΝΗΣ,1,0.0,,0.0,0,0,ΛΟΦΑΡΙ,0.1,0,Δ. ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ,0,ΡΟΔΟΠΗΣ,2018-11-09 18:20:00,0.0,0,0,0,0.0
ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΝΕΑΣ ΚΑΡΥΑΣ,0.0,0,0,0,0,0,0.0,0.0,2018-11-09 19:00:00,0,Π.Υ. ΧΡΥΣΟΥΠΟΛΗΣ,0,0.0,,0.0,0,0,,0.0,0,Δ. ΝΕΣΤΟΥ,0,ΚΑΒΑΛΑΣ,2018-11-09 18:15:00,0.03,0,0,0,0.0
ΚΕΦΑΛΑΡΙ,0.0,0,0,0,0,0,0.0,0.0,2018-11-09 09:05:00,2,Π.Υ. ΔΡΑΜΑΣ,1,0.0,ΔΡΑΜΑΣ,0.0,0,0,,4.5,0,Δ. ΔΟΞΑΤΟΥ,0,ΔΡΑΜΑΣ,2018-11-09 08:04:00,0.0,0,0,0,0.0
ΜΑΥΡΟΛΕΥΚΗ,0.0,0,0,0,0,0,15.0,0.0,2018-11-09 13:20:00,2,Π.Υ. ΔΡΑΜΑΣ,1,0.0,ΔΡΑΜΑΣ,0.0,0,0,,0.0,0,Δ. ΠΡΟΣΟΤΣΑΝΗΣ,0,ΔΡΑΜΑΣ,2018-11-09 12:40:00,0.0,0,0,0,0.0
ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΚΟΥΤΣΟΥ,0.0,0,0,0,0,0,5.0,0.0,2018-11-09 03:45:00,3,Π.Υ. ΞΑΝΘΗΣ,1,0.0,ΞΑΝΘΗΣ,0.0,0,0,ΚΟΥΤΣΟ,0.0,0,Δ. ΑΒΔΗΡΩΝ,0,ΞΑΝΘΗΣ,2018-11-09 02:45:00,0.0,0,0,0,0.0
ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΑΛΕΞ/ΠΟΛΗΣ,0.0,0,0,0,0,0,0.0,0.0,2018-11-09 12:10:00,3,Π.Υ. ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,1,0.0,,0.0,0,0,,2.0,0,Δ. ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,0,ΕΒΡΟΥ,2018-11-09 11:20:00,0.0,0,0,0,0.0
ΤΕΡΜΑ ΑΒΑΝΤΟΣ,0.0,0,0,0,0,0,0.0,0.0,2018-11-09 17:10:00,3,Π.Υ. ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,1,0.0,ΑΛΕΑΝΔΡΟΥΠΟΛΗΣ,0.0,0,0,,1.0,0,Δ. ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,0,ΕΒΡΟΥ,2018-11-09 16:30:00,0.0,0,0,0,0.0
ΑΓΡΟΤΙΚΗΠΕΡΙΟΧΗ ΔΡΥΜΟΥ,1.0,0,0,0,0,0,0.0,0.1,2018-11-09 16:10:00,6,Π.Κ. ΛΑΓΚΑΔΑ,2,0.0,ΛΑΓΚΑΔΑ,0.0,0,0,ΔΡΥΜΟΣ,5.0,0,Δ. ΩΡΑΙΟΚΑΣΤΡΟΥ,0,ΘΕΣΣΑΛΟΝΙΚΗΣ,2018-11-09 14:06:00,0.0,0,0,0,0.0
ΨΩΜΟΤΟΠΙ,0.0,0,0,0,0,0,5.0,0.0,,2,Π.Κ. ΣΙΔΗΡΟΚΑΣΤΡΟΥ,1,0.0,ΣΙΔΗΡΟΚΑΤΣΡΟΥ,0.0,0,0,,0.0,0,Δ. ΗΡΑΚΛΕΙΑΣ,0,ΣΕΡΡΩΝ,2018-11-09 17:10:00,1.0,0,0,0,0.0
ΑΓΡ. ΠΕΡ.ΚΑΜΠΑΝΗ,25.0,0,0,0,0,0,0.0,0.0,2018-11-09 15:52:00,4,Π.Υ. ΚΙΛΚΙΣ,2,0.0,ΚΙΛΚΙΣ,0.0,0,0,,0.0,0,Δ. ΚΙΛΚΙΣ,0,ΚΙΛΚΙΣ,2018-11-09 13:15:00,0.0,0,0,0,0.0
ΑΦΡ. ΠΕΡ. ΕΥΚΑΡΠΙΑΣ,0.0,0,0,0,0,0,0.0,0.0,2018-11-09 15:49:00,4,Π.Υ. ΚΙΛΚΙΣ,2,0.0,ΚΙΛΚΙΣ,0.0,0,0,,30.0,0,Δ. ΚΙΛΚΙΣ,0,ΚΙΛΚΙΣ,2018-11-09 13:45:00,0.0,0,0,0,0.0
ΑΓΡ. ΠΕΡ. ΚΑΜΠΑΝΗΣ,2.0,0,0,0,0,0,0.0,0.0,2018-11-09 15:19:00,2,Π.Υ. ΚΙΛΚΙΣ,1,0.0,ΚΙΛΚΙΣ,0.0,0,0,,3.0,0,Δ. ΚΙΛΚΙΣ,0,ΚΙΛΚΙΣ,2018-11-09 14:30:00,0.0,0,0,0,0.0
ΑΓΡ. ΠΕΡ. ΚΑΜΠΑΝΗΣ,0.0,0,0,0,0,0,100.0,0.0,2018-11-09 18:10:00,8,Π.Υ. ΚΙΛΚΙΣ,4,0.0,ΚΙΛΚΙΣ,0.0,0,0,,100.0,0,Δ. ΚΙΛΚΙΣ,0,ΚΙΛΚΙΣ,2018-11-09 15:10:00,0.0,0,0,0,20.0
ΑΓΡ. ΠΕΡ ΚΟΤΥΛΙ,0.0,0,0,0,0,0,200.0,0.0,2018-11-09 20:10:00,8,Π.Υ. ΚΙΛΚΙΣ,4,0.0,ΚΙΛΚΙΣ,0.0,0,0,,50.0,0,Δ. ΠΑΙΟΝΙΑΣ,0,ΚΙΛΚΙΣ,2018-11-09 15:15:00,0.0,0,0,0,0.0
ΑΓΡ. ΠΕΡ. ΡΥΖΙΩΝ,0.0,0,0,0,0,0,0.0,0.0,2018-11-09 21:45:00,2,Π.Υ. ΓΟΥΜΕΝΙΣΣΑΣ,1,0.0,ΓΟΥΜΕΝΙΣΣΑΣ,0.0,0,0,,0.2,0,Δ. ΠΑΙΟΝΙΑΣ,0,ΚΙΛΚΙΣ,2018-11-09 19:35:00,0.0,0,0,0,0.0
ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΑΡΧΟΝΤΙΚΟΥ,0.0,0,0,0,0,0,0.0,0.0,2018-11-09 17:27:00,2,Π.Υ. ΓΙΑΝΝΙΤΣΩΝ,1,0.0,ΕΔΕΣΣΑΣ,0.0,0,0,ΓΙΑΝΝΙΤΣΑ,0.1,0,Δ. ΠΕΛΛΑΣ,0,ΠΕΛΛΑΣ,2018-11-09 17:02:00,0.0,0,0,0,0.0
